text,true_label,predicted_label,error_type
"đùa, cái shop thế mà cũng bảo chính hãng, vả vỡ alo nó đi. ra trung tâm thương mại, hay cửa hàng chính hãng mà mua.",HATE,CLEAN,HATE → CLEAN
"Sam đâu có ngu mà đạp đổ bát cơm, bớt thuyết âm mưu ngu lol đi. Màn của chính Samsung s20 còn dính lỗi nữa kìa",HATE,CLEAN,HATE → CLEAN
Theart giống thằng bạn mình vl. Tháng vợ nó cũng cho 3tr mà tuần đéo nào cũng bia bọt 2 3 buổi. Thi thoảng lại cho lại vợ 1 củ )),HATE,CLEAN,HATE → CLEAN
"cộm cán như ku rồng còn quay xe nửa năm trước chửi tập lọ óc chó zero ngu đần nhưng còn sót lại 2, 3 cháu như yolo, emma cho là sáng suốt lắm, để ca nhiễm ít, éo mẹ thế thì sáng suốt vs ca nhiễm ít ti",HATE,OFFENSIVE,HATE → OFFENSIVE
"Thứ như vậy mà chơi với thằng chủ kênh cũng thuộc dạng không ra gì, thì chết đủ 5 đứa là 10 điểm đẹp, ăn hại xã hội rồi biết bao gia đình có thể tan nát vì cái đám trẻ trâu như thế này.",HATE,CLEAN,HATE → CLEAN
Đkm mới đáp 1 bãi cứt vào mặt đã cúp đuôi chạy rồi. Phản kháng yếu ớt vl,HATE,CLEAN,HATE → CLEAN
mem voz mà vẫn bị lừa thì chỉ có thể trách bạn quá ngu thôi,HATE,OFFENSIVE,HATE → OFFENSIVE
"loại này mong nó chết cmnđ cho sạch đường, chứ hy vọng gì",HATE,CLEAN,HATE → CLEAN
"Đậu má t chưa thấy thằng nào chơi cần nhiều mà giỏi cả, nói ngáo thì tin!",HATE,CLEAN,HATE → CLEAN
Thằng này nó lập mấy thớt xàm loz ntn rồi. Chủ nhật chơi lá đu đủ ít thôi.,HATE,OFFENSIVE,HATE → OFFENSIVE
sắp tết mà đéo có dư tiền tết này lại nằm nhà coi tv đánh lol thôi,HATE,CLEAN,HATE → CLEAN
đù xamer về voz kể chuyện,HATE,CLEAN,HATE → CLEAN
"bọn trẻ trâu manh động lắm, may cho fen ko bị mất tai lúc ý !",HATE,CLEAN,HATE → CLEAN
"Nghe thằng này nói là biết chưa chạy xe bao giờ Con Morning máy nhỏ nhưng khoản hao xăng thì đéo thua bố con thằng nào. Con i10 rộng thật, nhưng máy nhỏ hơn, lại đéo có cân bằng điện tử bập vào làm cm",HATE,CLEAN,HATE → CLEAN
qua thớt này của nó thì 90% là xiaolol rùi,HATE,OFFENSIVE,HATE → OFFENSIVE
"thằng này chuyên đăng bài để hả hê, khóa mõm nó đi mod",HATE,OFFENSIVE,HATE → OFFENSIVE
"Đm ý nó là ko mưa nó đi với thằng kia, mưa thì đi với thím Ngu như bò",HATE,CLEAN,HATE → CLEAN
người chim voz cũ đây à suốt ngày quay tay ra thớt nhảm,HATE,CLEAN,HATE → CLEAN
Ko hiểu con này lấy data từ đâu mà nó nói chuyện “con người” thế nhỉ? Trong khi Google có kho data siêu to khổng lồ thì con trợ lý lại khô khan vãi cả ra,HATE,CLEAN,HATE → CLEAN
Vào đọc toàn lũ voz xạo lìn là giỏi.,HATE,OFFENSIVE,HATE → OFFENSIVE
"Gọi tổng đài bảo nó cho số thằng sếp càng cao càng tốt rồi gọi lên bảo : bố mày không vay, thằng nào con nào chống lưng bọn mày mà láo chó vậy. Làm phiền nữa bố thịt cả nhà mày cho hết gọi",HATE,OFFENSIVE,HATE → OFFENSIVE
Có đứa con là mừng rồi mày. Sợ cái lol. Nghĩ đéo gì cho đau đầu. Cưới xong học tiếp. Ai cấm đâu.,HATE,CLEAN,HATE → CLEAN
Gif 2 con chó sủa nhau qua cái cổng không đóng ai up lên hộ cái.,HATE,CLEAN,HATE → CLEAN
t hy vọng cụ perez ko bao h động vào thằng chó mp3 nữa. Nó ko xứng đáng. Giờ trên ttcn còn cầu thủ tấn công tier 1 nào thì hốt chứ mua kane làm lol gì già chết mẹ,HATE,CLEAN,HATE → CLEAN
"Già đầu bớt sân si đi, không muốn nó tự ý dắt xe đi thì 1 là cất xe vào trong nhà 2 là giải quyết với thằng đấy thôi. Post lên đây giải quyết cc gì? Tìm kiếm người đồng cảm với mình à. Lội mấy trang c",HATE,CLEAN,HATE → CLEAN
"Đm nhẫm vào đuổi con bò đỏ này nó giãy nảy cắn người kinh thật @@ Tao có hay ko liên quan lol gì mà mày có vẻ cay cú vkl nhỉ, chắc gato với tao hả ))",HATE,OFFENSIVE,HATE → OFFENSIVE
"gạch tên hộ khẩu, cho nó ra đường ở mấy thằng cờ bạc, cá độ méo tin được thằng nào",HATE,CLEAN,HATE → CLEAN
Lào giờ đến Pakistan toàn chết bởi bẫy nợ bọn Tàu .,HATE,OFFENSIVE,HATE → OFFENSIVE
