text,true_label,predicted_label,error_type
"Tôi uống từ vang đà lạt đến mấy chai tầm 2-3 củ. thì nói chung càng đắt vị càng ngon: ngọt, đỡ gắt đỡ chát, vị nó quyện và sâu giống kiểu uống trà sữa được đun thì khác với việc cho sữa vào lipton và ",CLEAN,HATE,CLEAN → HATE
"Vuông tròn j rồi cũng phải vào cũi thôi các thím ạ. Cũng nhiều cái vui chứ ko phải là toàn cái đau đầu. Do mình chọn, mình chịu. Lúc yêu thì hợp, ưng ý thế rồi mà về còn vỡ mộng cơ mà. Chỉ biết chuẩn ",CLEAN,HATE,CLEAN → HATE
"phải tôi từ lúc thấy cái vú như cái bát xề xòa, lol lông rậm như amazon đút vào k đáy thì tôi bỏ về cmnl rồi chơi gái mà như này thì",CLEAN,HATE,CLEAN → HATE
Anh em ủng hộ thì đê tớ lập thớt nha,CLEAN,HATE,CLEAN → HATE
"anh có thể đầu tư hệ điện mt cùng bộ lưu điện 3-4 tỉ là nhà tầm 30m2, 3pn, 3 điều hòa, bếp điện tủ lạnh full tổng cs sử dụng ~5-6kwh, anh lắp dàn 3-5kwp, tổng chi phí 200tr, là anh kê cao gối ngủ cả n",CLEAN,HATE,CLEAN → HATE
"Vđ nhiều hay ít thì có hãng lo, KH cứ hưởng thôi, quan tâm nhiều làm gì. Xe hybrid cơ bản cũng là xe xăng, sẽ sớm bị thải loại. Vn lên đc thẳng xe điện là tiết kiệm đc rất nhiều tiền và thời gian.",CLEAN,HATE,CLEAN → HATE
"Bye ae, bao giờ đổi hlv thì tôi lại sinh hoạt.",CLEAN,HATE,CLEAN → HATE
"ủa thằng Mukilele của PSG đâu r giờ ko thấy nữa nhỉ thằng đó có vẻ đỡ bóp hơn,còn Pembele trẻ măng với cái thằng 23 cao ngồng mà vụng v kl nữa",CLEAN,HATE,CLEAN → HATE
"Cảm ơn, lâu lắm mới thấy Vozer chê gái cute.",CLEAN,HATE,CLEAN → HATE
Tức là có phát quà trong thớt này không,CLEAN,HATE,CLEAN → HATE
Có tính toán xa gần hả? V nó tủi là đúng r đó mày. Chứ như ng ta con gái con lứa m biểu nó đi grab về lỡ thằng grab âm binh hay thì sao? Vs m chắc “thì thôi” chứ sao hả?,CLEAN,HATE,CLEAN → HATE
"thật thà thì có, mà thực ra phải gọi là ngáo ngáo lại còn hơi n.g.u n.g.u",CLEAN,HATE,CLEAN → HATE
Thôi bác à. Bác cố tí nữa tán được rồi xong cưới rồi về phục hận sau,CLEAN,HATE,CLEAN → HATE
"Thì đạt được tầm thái Lan đi đã và hoà bình cũng 47 năm rồi. Thu nhập bình quân đầu người nó vẫn X2 lần Việt Nam thuộc hạng trung thế giới. Việt Nam thu nhập bình quân đầu người khoảng 3,5-4k usd/ năm",CLEAN,HATE,CLEAN → HATE
Nổ sau đó cháy mà,CLEAN,HATE,CLEAN → HATE
Có thời gian mình sẽ gõ để anh em đọc mua vui nhé :3,CLEAN,HATE,CLEAN → HATE
"Sai rồi em trai, anh cũng từng vô tâm như vậy, phụ nữ họ hay nhạy cảm mấy lúc kiểu này lắm. Suy nghĩ của đàn ông thì nghĩ đó là bth, nhưng phụ nữ họ cần nhiều hơn thế.",CLEAN,HATE,CLEAN → HATE
"momo là vô địch nhé, nam nay chắc kiếm gần 500 củ từ momo",CLEAN,HATE,CLEAN → HATE
đọc đoán gái nhật cu tôi thụt mẹ vào trong,CLEAN,HATE,CLEAN → HATE
D.M các ông có thể giải thích cho tôi về thằng PSG được không.,CLEAN,HATE,CLEAN → HATE
"Chỉ đạo mồm: 2% giá trị khoản vay, còn không lựa lý do để từ chối hồ sơ",CLEAN,HATE,CLEAN → HATE
Giờ check có chưa anh. Giờ check thì có được xem là mới không anh. Tôi mới check thì vẫn không có nhé,CLEAN,HATE,CLEAN → HATE
Em sai thím ạ. Ko phải bao biện đâu nhưng ngày đấy bà áp đặt thế. Em thì nghĩ đơn giản là bà ôm về trông 1-2 tháng cai sữa thôi. Ai dè mấy lần chỉ cần em có ý đồ đón con đi là bà khóc lóc vò đầu đấm n,CLEAN,HATE,CLEAN → HATE
Tự nhiên hắn muốn viết về em người yêu chính thức đầu tiên. Kí ức không mấy vui vẻ.,CLEAN,HATE,CLEAN → HATE
Hồi đầu tôi lên Facebook thấy Fan MU tung hô thương vụ này lắm anh ạ. Bảo tiền bán áo đấu thừa phí chuyển nhượng với lương rồi. Fame nhiều lại là siêu sao lương cao là hợp lý.,CLEAN,HATE,CLEAN → HATE
"Tôm 5m bị sắc nổ sút lên bench là có thật, bưa trước nói đùa Tôm bật sắc nổ vì trao bang cap cho oppa ai ngờ lên bench thật",CLEAN,HATE,CLEAN → HATE
"bây giờ đến cuối năm làm gì có định nghĩa ""hết dịch"" chỉ có là kiểm soát được hay không thôi",CLEAN,HATE,CLEAN → HATE
"kẹo này bh nó đổi vị nhạt hơn hay sao ấy nhỉ, xưa ăn cay vl bh cứ nhạt nhạt",CLEAN,HATE,CLEAN → HATE
"Alo, thím làm như mình bảo, lắp động cơ điện đằng sau vào xe xăng, vừa chạy xăng vừa chạy điện, mình có lắp nhé, chạy ok , gắn pin chạy được 85km,",CLEAN,HATE,CLEAN → HATE
"Tôi đc test cả 2 rồi đây,nhổ siêu âm đúng là ko đau thật. Tôi nhổ hàm dưới bằng siêu âm, hàm trên nhổ thường mà cũng méo thấy đau. Chỉ hơi nhức tí ngày đầu tiên.",CLEAN,HATE,CLEAN → HATE
"max 200tr lãi suất ưu đãi, bác cần tư vấn kế hoạch và phương án cụ thể hộp zalo 097.789.2410 (Thắng) em hỗ trợ cho nhé",CLEAN,HATE,CLEAN → HATE
;,CLEAN,HATE,CLEAN → HATE
"Giờ lão ý cũng gần 1 mình rồi, ít nhất đọ C1 thì chả ngán bố con thằng nào. 3 mùa liên tiếp, chắc chả bgio bị phá cái kỷ lục này",CLEAN,HATE,CLEAN → HATE
"B lo cho gđ tương lai thì cũng ok đấy nhưng tuổi này đang ăn học. Cứ làm tốt mấy cái đó đã, nghĩ chi cho xa xôi. Còn b cắm đầu vào học,lúc nào cũng nghĩ đến học mà kq vẫn như **** thì xem lại phương p",CLEAN,HATE,CLEAN → HATE
"Cái mình làm là lúc quen nhau, trước đó không biết gì hết cái đoạn “cấn” nhé",CLEAN,HATE,CLEAN → HATE
Làm thế nào để điều khiển được 2 cái đầu theo ý mình như thế vậy bác ? ),CLEAN,HATE,CLEAN → HATE
"Thôi cũng kiếm đc 5 tỏi cho gia đình, bằng cả đời làm culi rồi, kiếm tạm cái góc nào rồi reset để tiền cho bố mẹ mà báo hiếu. Họ đẻ phải thằng con ngu đã khổ rồi còn bắt họ hầu hạ bên giường bệnh nữa",CLEAN,HATE,CLEAN → HATE
Trên fb có up mấy bộ phim bộ cug hay lắm mà lúc coi trên nền tảng fb bằng đt thì chất lượng dc 480p trong khi mình cài fb vào box tivi phát lên tv xem thì chất lượng dc có 360p hình ảnh rất mờ không x,CLEAN,HATE,CLEAN → HATE
"kb lấy trúng vozer cận đụt trĩ nào đấy, ngon nuôn",CLEAN,HATE,CLEAN → HATE
Vậy là VNPT nó làm trước rồi ) mình vào các trang trên bằng mạng vnpt thì nó xoay hoài thôi! không load vô được! Có 1 số trang vẫn vô bthg. Chắc đang bổ sung dần domain,CLEAN,HATE,CLEAN → HATE
"thua thì chung ý kiến tại chỗ làm gì 3 cái đồng bạc cắc lại mệt thây với chính quyền, đau buồn cay cú gì cứ lên đây lập thớt ace chia sẻ cho là ok rồi",CLEAN,HATE,CLEAN → HATE
Hi vọng giá ko ngáo như con scoopy 70 chai,CLEAN,HATE,CLEAN → HATE
"Ôm 1 lúc trước khi ngủ thôi. Mình nằm ngủ ko nằm nghiêng lâu dc, mỏi người lắm. Tối ngủ vẫn thay đổi tư thế, cứ ôm 1 lúc rồi lại đảo sang tư thế khác chống mỏi.",CLEAN,HATE,CLEAN → HATE
"tầm này mấy đứa học điền kinh, bóng rổ, bóng chuyền thi sao",CLEAN,HATE,CLEAN → HATE
"nhưng phân khúc 500cc scrambler thì thực sự ở VN nó chưa có đối thủ nào (rộng ra cả thế giới thì cũng đại loại thế), có Royal Enfield scram 411 thì bị chê Ấn **",CLEAN,HATE,CLEAN → HATE
Dolce & Gabbana The One EDP à bác ​,CLEAN,HATE,CLEAN → HATE
Tưởng lên đồn muốn khai thế nào là khai à,CLEAN,HATE,CLEAN → HATE
+10đ,CLEAN,HATE,CLEAN → HATE
"Là crush thời đi học của t, t với crush cũng từng 1 thời nc rất nhiều, nhưng khoảng 1 năm trở lại đây thì hình như đã unfollow fb của t, t thì cũng unfollow crush tầm nửa năm nay rồi vì quyết tâm khôn",CLEAN,HATE,CLEAN → HATE
"chuyện bình thường như đi chợ thôi, bar sunny ngay gần chỗ tôi đây. Thằng em tôi 1 đêm đi bay hết 20 củ là chuyện bình thương mẹ nó luôn",CLEAN,HATE,CLEAN → HATE
"M65 thì ngồi con cb1k neo cũng đâu đến nỗi đâu bác, cái phuộc nó mềm, ngồi lên nó nhúng xuống 1 khúc, do cái yên nó bè ra thôi, được thì gọt cho nó gọn lại là chống vô tư. Còn dùng lowering kit chỉ là",CLEAN,HATE,CLEAN → HATE
"Ai bắt chú mày phải quen gái xinh đâu, kiếm cá sấu học giỏi ở trọ mà quen. Gái tỉnh xinh, đẹp lên thành phố gần như chắc chắn nó phải ưu tiên chọn cái thằng có nhà. Nó đã lên thành phố tức là muốn đổi",CLEAN,HATE,CLEAN → HATE
Úc nhé hoặc Can cũng ổn.,CLEAN,HATE,CLEAN → HATE
"Mới bị ông cậu ruột ngồi trong bàn nhậu đám dỗ chỉ thẳng mặt: lớp hơn con ổng 1 tuổi mà chỉ mới học năm 2 bằng con ổng, còn chạy GRAB . Kiểu mình không bằng con ổng,mình loser vc đi ..v...vv ko có bàn",CLEAN,HATE,CLEAN → HATE
"giờ căng thẳng mới dễ thẻ nè, tài thẻ nào",CLEAN,HATE,CLEAN → HATE
Đứa nào post nhảm thì kỳ thị thôi fen,CLEAN,HATE,CLEAN → HATE
Bắc Ninh quen mỗi bác So,CLEAN,HATE,CLEAN → HATE
Mấy ai được như bác ý,CLEAN,HATE,CLEAN → HATE
.,CLEAN,HATE,CLEAN → HATE
ai không học thêm thì tránh sang 1 bên,CLEAN,HATE,CLEAN → HATE
tôi toàn nhét sì líp,CLEAN,HATE,CLEAN → HATE
"Làm gì mà 160tr lận vậy Anh hỏi màu nào đây tôi kiểm tra rồi báo cho , *x tr ( x chắc tầm trung thôi ).",CLEAN,HATE,CLEAN → HATE
nhìn cái tay crêpy vl,CLEAN,HATE,CLEAN → HATE
"Mồm thì rả 9 trị ko liên quan tới bóng đá, cuối cùng lại dùng 9 trị ép thằng cầu thủ muốn ra đi",CLEAN,HATE,CLEAN → HATE
Reset,CLEAN,HATE,CLEAN → HATE
Bookmarked!!!,CLEAN,HATE,CLEAN → HATE
"Ông Tomino nói có sai đâu, anime Nhật chuẩn bị cúi đầu trước thiên triều là vừa",CLEAN,HATE,CLEAN → HATE
"Nhắc lại: Cái j cũng có giá của nó. Éo có cái j là free cả. Có đuôi là ưu điểm khi anh sống trên cây, nhưng khi anh toàn đi lại dưới đất thì đấy là khuyết điểm rồi. Và thực ra thì loài người vẫn có ge",CLEAN,HATE,CLEAN → HATE
"Làm du lịch mà chỉ dựa vào cảnh quan thì khó mà kéo khách quay lại lần 2 lần 3. Vì đơn giản là cảnh quan k thể thay đổi, khách chỉ đi 1 lần trải nghiệm cho biết. Chỉ có liên tục thay đổi, làm mới, đa ",CLEAN,HATE,CLEAN → HATE
"cty thuê 8h/ngày, thì tôi làm 16h 1 ngày? còn tôi đã nói rồi, ASM 1 số bên cũng từng đưa ra chính sách như vậy để câu kéo người với tôi. Còn sợ khó với cả bàn lùi thì lại chẳng bh gánh 2 việc 1 lúc, v",CLEAN,HATE,CLEAN → HATE
Đang quote Penaldes mà fen,CLEAN,HATE,CLEAN → HATE
"Theo mình nhiều trải nghiệm thì đúng hơn, trải nghiệm dẫn đến kinh nghiệm, kinh nghiệm dẫn đến đúng người Thằng bạn mình quen vợ khi học cấp 2, 10 năm sau cưới. Trước nó tâm sự bảo lấy do tình nghĩa c",CLEAN,HATE,CLEAN → HATE
Cầm 500k làm khỉ cho người ta coi,CLEAN,HATE,CLEAN → HATE
Thớt chỉ nói là hôi thôi chứ nó không nói là thúi. Nên nó vẫn còn lịch sự chán. Thứ Troll ghẻ ngu học không sõi tiếng việt mà còn bày đặt lên mặt. Còn đếch biết các cấp độ khi dùng từ,OFFENSIVE,HATE,OFFENSIVE → HATE
Không thích cò lắm nhưng khôn như này thì điếm thúi quá.,OFFENSIVE,HATE,OFFENSIVE → HATE
"Bạn so sánh như như cớt ấy. Bản chất so sánh là phải có 2 cái cùng giống nhau về bản chất mới so sánh được, đằng này:",OFFENSIVE,HATE,OFFENSIVE → HATE
Con cẩu nô bày,OFFENSIVE,HATE,OFFENSIVE → HATE
đcm mấy thằng chim ngắn phung phí cơ hội,OFFENSIVE,HATE,OFFENSIVE → HATE
"Sau này bọn page 1 ăn mì tôm sẽ đéo bao giờ có gói gia vị, tao nguyền rủa",OFFENSIVE,HATE,OFFENSIVE → HATE
"Thằng rách tốt đẹp gì, ở đây vẫn gọi nó là rách 5 củ, căn bản nó éo có cái gì để dìm thêm nữa, rác vẫn rác nhưng có 1 thằng bới rác thành rác cùng luôn là Cường nên người ta chửi thằng cha phông bạt k",OFFENSIVE,HATE,OFFENSIVE → HATE
Chương 21: Chuyện thằng K,OFFENSIVE,HATE,OFFENSIVE → HATE
"thách thức KH, coi KH là những con suxvat hạ đẳng ngu như bò, chữ cũng đéo biết đọc để sale BH lừa, sale BH là giống loài thượng đẳng",OFFENSIVE,HATE,OFFENSIVE → HATE
Tham lại còn ngu,OFFENSIVE,HATE,OFFENSIVE → HATE
"bọn Hồi giáo đấu tranh lúc nào cũng dính tới ""hành quyết"" man rợ, đã man rợ còn ghi lại hình ảnh tuyên truyền kiểu mất nhân tính thì sao mà giành được sự ủng hộ rộng rãi của quốc tế dc.",OFFENSIVE,HATE,OFFENSIVE → HATE
Đó lòi bản chất rồi kia. Nói thiệt vô mấy 2 pic cafe gặp mấy thằng nhại nhại chê bai rồi lôi 1 cái cafe tây lol ra là biết bài của chúng nó ),OFFENSIVE,HATE,OFFENSIVE → HATE
"Dis mẹ thằng thần kinh này. Hiện tại ô tô bị coi là ""nguồn nguy hiểm cao độ"" rồi, cứ tội vạ đúng sai gì cũng bị đè ra đấm rồi, chưa hài lòng mày hả ? Giờ tao chạy đúng luật, đúng làn, đúng tất cả mọi ",OFFENSIVE,HATE,OFFENSIVE → HATE
"Ngu thì thua, sai ở đâu thì sửa, mà làm lại. Ko bắt tay thì bị chửi kém bản lĩnh, hèn thôi. Cay cú nó đ liên quan lol gì đến việc bắt tay cả.",OFFENSIVE,HATE,OFFENSIVE → HATE
26 27 con c nhé đ-éo tin,OFFENSIVE,HATE,OFFENSIVE → HATE
Thì tùy nick thôi thím. Ngứa mắt quá đôi khi ae cũng méo chịu được. Để ý anti đàn gà tuyệt nhiên ko có ai fan đội nào khác ngoài HN. Anti thì nhận mẹ nó anti đi. Toàn đội lốt fan HN làm éo gì mang tiế,OFFENSIVE,HATE,OFFENSIVE → HATE
dm thằng chồng gu mặn vcl,OFFENSIVE,HATE,OFFENSIVE → HATE
thằng óc chó,OFFENSIVE,HATE,OFFENSIVE → HATE
"đúng là vozer, nhiều thằng sống ngu và ích kỷ vcl, nếu như người yêu nó cần 1 trái thận, lúc đó bản thân suy nghĩ tính toán thì ok, này chạy xe có 40km mà tính toán chi ly, mua cái váy mà mặc đi",OFFENSIVE,HATE,OFFENSIVE → HATE
@tuanbe1999 nó nói xấu fence nè. Gạch vỡ mõm nó đi,OFFENSIVE,HATE,OFFENSIVE → HATE
"Khác mẹ gì tàu khựa, bơm tiền cho đám NGO woke đi biểu tình phá lại bọn tây lông thôi. Chó chê mèo lắm lông. À mà acc Emma Roberts bị ban rồi à mày",OFFENSIVE,HATE,OFFENSIVE → HATE
"Chơi ngu rồi, động đến tôn giáo thì chuẩn bị tù thôi",OFFENSIVE,HATE,OFFENSIVE → HATE
"đùa, cái shop thế mà cũng bảo chính hãng, vả vỡ alo nó đi. ra trung tâm thương mại, hay cửa hàng chính hãng mà mua.",OFFENSIVE,HATE,OFFENSIVE → HATE
