text,true_label,predicted_label,error_type
"đúng là vozer, nhiều thằng sống ngu và ích kỷ vcl, nếu như người yêu nó cần 1 trái thận, lúc đó bản thân suy nghĩ tính toán thì ok, này chạy xe có 40km mà tính toán chi ly, mua cái váy mà mặc đi",OFFENSIVE,HATE,OFFENSIVE → HATE
@tuanbe1999 nó nói xấu fence nè. Gạch vỡ mõm nó đi,OFFENSIVE,HATE,OFFENSIVE → HATE
"Khác mẹ gì tàu khựa, bơm tiền cho đám NGO woke đi biểu tình phá lại bọn tây lông thôi. Chó chê mèo lắm lông. À mà acc Emma Roberts bị ban rồi à mày",OFFENSIVE,HATE,OFFENSIVE → HATE
"Chơi ngu rồi, động đến tôn giáo thì chuẩn bị tù thôi",OFFENSIVE,HATE,OFFENSIVE → HATE
"đùa, cái shop thế mà cũng bảo chính hãng, vả vỡ alo nó đi. ra trung tâm thương mại, hay cửa hàng chính hãng mà mua.",OFFENSIVE,CLEAN,OFFENSIVE → CLEAN
"Bạn so sánh như như cớt ấy. Bản chất so sánh là phải có 2 cái cùng giống nhau về bản chất mới so sánh được, đằng này:",HATE,CLEAN,HATE → CLEAN
Chương 21: Chuyện thằng K,HATE,CLEAN,HATE → CLEAN
"đùa, cái shop thế mà cũng bảo chính hãng, vả vỡ alo nó đi. ra trung tâm thương mại, hay cửa hàng chính hãng mà mua.",HATE,CLEAN,HATE → CLEAN
Đkm mới đáp 1 bãi cứt vào mặt đã cúp đuôi chạy rồi. Phản kháng yếu ớt vl,HATE,OFFENSIVE,HATE → OFFENSIVE
"Đậu má t chưa thấy thằng nào chơi cần nhiều mà giỏi cả, nói ngáo thì tin!",HATE,OFFENSIVE,HATE → OFFENSIVE
đù xamer về voz kể chuyện,HATE,CLEAN,HATE → CLEAN
người chim voz cũ đây à suốt ngày quay tay ra thớt nhảm,HATE,CLEAN,HATE → CLEAN
